"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"DM1","DESERT METALS LIMITED","2020-12-18","Materials",19270454
"DMC","DESIGN MILK CO LIMITED","1997-03-24","Retailing",12702477
"DME","DOME GOLD MINES LIMITED","2013-10-22","Materials",87396034
"DMG","DRAGON MOUNTAIN GOLD LIMITED","2007-07-31","Materials","N/A"
"DMM","DMC MINING LIMITED.","2021-12-22","Materials",6025500
"DMP","DOMINO'S PIZZA ENTERPRISES LIMITED","2005-05-16","Consumer Services",5842389195
"DNA","DONACO INTERNATIONAL LIMITED","2004-12-23","Consumer Services",42003239
"DNK","DANAKALI LIMITED","2003-10-17","Materials",116025319
"DOC","DOCTOR CARE ANYWHERE GROUP PLC","2020-12-04","Health Care Equipment & Services",71514660
"DOR","DORIEMUS PLC","2017-09-29","Energy",10832049
"DOU","DOUUGH LIMITED","2004-06-15","Telecommunication Services",21918525
"DOW","DOWNER EDI LIMITED","1990-12-20","Commercial & Professional Services",3790238814
"DRA","DRA GLOBAL LIMITED","2021-07-09","Capital Goods",119165143
"DRE","DREADNOUGHT RESOURCES LTD","2006-10-31","Materials",122063393
"DRM","DEMETALLICA LIMITED","2022-05-26","Materials",25856078
"DRO","DRONESHIELD LIMITED","2016-06-22","Capital Goods",92996527
"DRR","DETERRA ROYALTIES LIMITED","2020-10-23","Materials",2325513098
"DRX","DIATREME RESOURCES LIMITED","2005-06-22","Materials",75954566
"DSE","DROPSUITE LIMITED","1985-12-12","Software & Services",119326916
"DSK","DUSK GROUP LIMITED","2020-11-02","Retailing",123290373
"DTC","DAMSTRA HOLDINGS LIMITED","2019-10-16","Software & Services",25769639
"DTI","DTI GROUP LTD","2014-12-09","Technology Hardware & Equipment",8971028
"DTL","DATA#3 LIMITED","1997-12-23","Software & Services",754767515
"DTM","DART MINING NL","2007-05-10","Materials",9468211
"DTR","DATELINE RESOURCES LIMITED","2011-06-23","Materials",48736644
"DTZ","DOTZ NANO LIMITED","2007-12-13","Semiconductors & Semiconductor Equipment",138610932
"DUB","DUBBER CORPORATION LIMITED","2000-06-30","Software & Services",277408595
"DUG","DUG TECHNOLOGY LTD","2020-08-12","Software & Services",59061693
"DUI","DIVERSIFIED UNITED INVESTMENT LIMITED","1991-12-19","Not Applic",1013116556
"DUN","DUNDAS MINERALS LIMITED","2021-11-10","Materials",7823428
"DUR","DURATEC LIMITED","2020-11-04","Capital Goods",79389223
"DVL","DORSAVI LTD","2013-12-11","Pharmaceuticals, Biotechnology & Life Sciences",5662101
